Comment,Designator,Footprint,LCSC
"PMEG3005EH,115",D3,D_SOD-123,C179429
"PMEG3005EH,115",D2,D_SOD-123,C179429
"PMEG3005EH,115",D1,D_SOD-123,C179429
MAX3421ETQFP32-5MM,U1,TQFP32-5MM,C45862
USB_A_SMT_FEMALE_NS,J1,USB_A_TE_292303-7_Horizontal,
10u,C6,CP_Elec_4x5.3,
2k,R3,R_0805_2012Metric,C17604
ARDUINO_LEONARDO_MICRO,U7,ARDUINO_LEONARDO_MICRO,
16p,C2,C_0805_2012Metric,C152845
100n,C5,C_0805_2012Metric,C49678
2k,R4,R_0805_2012Metric,C17604
MIC5219-3.3YMM,U3,MSOP-8_3x3mm_P0.65mm,C628154
16p,C3,C_0805_2012Metric,C152845
100n,C8,C_0805_2012Metric,C49678
100n,C7,C_0805_2012Metric,C49678
100n,C4,C_0805_2012Metric,C49678
TL3305AF160QG,SW1,TL3305AF160QG,
ARDUINO_LEONARDO_MICRO,U5,ARDUINO_LEONARDO_MICRO,
33R,R1,R_0805_2012Metric,C17634
ARDUINO_LEONARDO_MICRO,U6,ARDUINO_LEONARDO_MICRO,
12MHz,Y1,XTAL_ECS-250-18-5PX-JEM-TR,
"74HC4050PW,118",U2,TSSOP-16_4.4x5mm_P0.65mm,C546991
ARDUINO_LEONARDO_MICRO,U4,ARDUINO_LEONARDO_MICRO,
100n,C1,C_0805_2012Metric,
33R,R2,R_0805_2012Metric,C17634
